Date,Price,Open,High,Low,Vol.,Change %
04/30/2025,24.01,23.4,25.65,23.35,86.97K,2.68%
04/29/2025,23.38,23.8,24.25,23.2,52.29K,-1.26%
04/28/2025,23.68,23.4,24.65,23.15,51.77K,0.78%
04/25/2025,23.5,24.33,25.1,23.4,61.33K,-4.35%
04/24/2025,24.57,25.3,26.15,24.26,62.10K,-3.42%
04/23/2025,25.44,26.2,26.4,24.65,89.71K,-4.15%
04/22/2025,26.54,28.25,28.5,26.35,83.08K,-6.70%
04/21/2025,28.45,27.05,29.1,26.65,70.90K,6.43%
04/17/2025,26.73,27.2,27.5,26.3,69.14K,-16.24%
04/16/2025,31.91,31.1,33.31,30.7,1.49K,6.71%
04/15/2025,29.9,30.1,31.35,28.11,55.84K,0.14%
04/14/2025,29.86,33.8,33.8,28.65,83.89K,10.03%
04/11/2025,27.14,27.11,29.25,26.35,34.86K,-1.57%
04/10/2025,27.57,23.6,29.15,23.24,49.34K,15.71%
04/09/2025,23.83,28.07,30.95,22.95,57.37K,-14.62%
04/08/2025,27.91,25.8,30.1,24,50.99K,7.06%
04/07/2025,26.07,27.65,35.4,23.2,71.72K,-8.60%
04/04/2025,28.52,24.05,29.17,23.52,197.78K,17.88%
04/03/2025,24.19,21.45,24.32,21.41,152.43K,20.83%
04/02/2025,20.02,20.55,21.52,19.34,66.20K,-2.39%
04/01/2025,20.51,20.65,21.36,20.27,55.81K,0.13%
03/31/2025,20.49,20.8,21.76,20.3,77.17K,-0.30%
03/28/2025,20.55,19.2,20.78,19.2,63.12K,7.26%
03/27/2025,19.16,19.15,19.55,18.95,40.84K,0.05%
03/26/2025,19.15,18.62,19.46,18.4,44.41K,2.65%
03/25/2025,18.66,18.52,18.7,18.35,35.76K,0.85%
03/24/2025,18.5,19.35,19.35,18.45,39.60K,-5.01%
03/21/2025,19.47,19.47,20.05,19.3,38.71K,0.00%
03/20/2025,19.47,19.7,20.05,19.35,38.23K,-1.40%
03/19/2025,19.75,20.34,20.55,19.35,51.10K,-3.58%
03/18/2025,20.48,19.9,20.8,19.6,104.98K,2.83%
03/17/2025,19.92,20.9,21.2,19.8,119.83K,-3.69%
03/14/2025,20.68,22.55,22.55,20.64,125.68K,-8.63%
03/13/2025,22.63,21.95,23.1,21.4,95.99K,4.23%
03/12/2025,21.71,22.85,23,21.55,115.57K,-4.62%
03/11/2025,22.77,22.69,23.97,22,155.05K,-0.14%
03/10/2025,22.8,20.8,23.1,20.8,135.59K,5.42%
03/07/2025,21.63,22.4,23.62,21.55,152.13K,-5.27%
